Files already downloaded and verified
Files already downloaded and verified
Epoch: 4, Iteration:   320 loss: 1.505
Epoch: 4, Iteration:   340 loss: 1.540
Epoch: 4, Iteration:   360 loss: 1.575
Epoch: 4, Iteration:   380 loss: 1.474
Epoch: 4, Iteration:   400 loss: 1.482
Epoch: 4, Iteration:   420 loss: 1.452
Epoch: 4, Iteration:   440 loss: 1.408
Epoch: 4, Iteration:   460 loss: 1.359
Epoch: 4, Iteration:   480 loss: 1.506
Epoch: 4, Iteration:   500 loss: 1.511
Epoch: 4, Iteration:   520 loss: 1.521
Epoch: 4, Iteration:   540 loss: 1.424
Epoch: 4, Iteration:   560 loss: 1.470
Epoch: 4, Iteration:   580 loss: 1.498
Epoch: 4, Iteration:   600 loss: 1.451
Epoch: 4, Iteration:   620 loss: 1.465
Epoch: 4, Iteration:   640 loss: 1.415
Epoch: 4, Iteration:   660 loss: 1.440
Epoch: 4, Iteration:   680 loss: 1.508
Epoch: 4, Iteration:   700 loss: 1.439
Epoch: 4, Iteration:   720 loss: 1.425
Epoch: 4, Iteration:   740 loss: 1.453
Epoch: 4, Iteration:   760 loss: 1.346
Epoch: 4, Iteration:   780 loss: 1.366
Loss: 1.299
Accuracy of the network on the 10000 test images: 53 %
Accuracy of plane : 71 %
Accuracy of   car : 66 %
Accuracy of  bird : 48 %
Accuracy of   cat : 43 %
Accuracy of  deer : 32 %
Accuracy of   dog : 44 %
Accuracy of  frog : 66 %
Accuracy of horse : 42 %
Accuracy of  ship : 50 %
Accuracy of truck : 69 %
Epoch: 5, Iteration:     0 loss: 0.065
Epoch: 5, Iteration:    20 loss: 1.346
Epoch: 5, Iteration:    40 loss: 1.435
Epoch: 5, Iteration:    60 loss: 1.470
Epoch: 5, Iteration:    80 loss: 1.385
Epoch: 5, Iteration:   100 loss: 1.373
Epoch: 5, Iteration:   120 loss: 1.378
Epoch: 5, Iteration:   140 loss: 1.355
Epoch: 5, Iteration:   160 loss: 1.363
Epoch: 5, Iteration:   180 loss: 1.372
Epoch: 5, Iteration:   200 loss: 1.463
Epoch: 5, Iteration:   220 loss: 1.360
Epoch: 5, Iteration:   240 loss: 1.333
Epoch: 5, Iteration:   260 loss: 1.322
Epoch: 5, Iteration:   280 loss: 1.302
Epoch: 5, Iteration:   300 loss: 1.351
Epoch: 5, Iteration:   320 loss: 1.390
Epoch: 5, Iteration:   340 loss: 1.355
Epoch: 5, Iteration:   360 loss: 1.392
Epoch: 5, Iteration:   380 loss: 1.388
Epoch: 5, Iteration:   400 loss: 1.380
Epoch: 5, Iteration:   420 loss: 1.333
Epoch: 5, Iteration:   440 loss: 1.385
Epoch: 5, Iteration:   460 loss: 1.350
Epoch: 5, Iteration:   480 loss: 1.442
Epoch: 5, Iteration:   500 loss: 1.329
Epoch: 5, Iteration:   520 loss: 1.299
Epoch: 5, Iteration:   540 loss: 1.316
Epoch: 5, Iteration:   560 loss: 1.285
Epoch: 5, Iteration:   580 loss: 1.284
Epoch: 5, Iteration:   600 loss: 1.329
Epoch: 5, Iteration:   620 loss: 1.324
Epoch: 5, Iteration:   640 loss: 1.288
Epoch: 5, Iteration:   660 loss: 1.320
Epoch: 5, Iteration:   680 loss: 1.299
Epoch: 5, Iteration:   700 loss: 1.337
Epoch: 5, Iteration:   720 loss: 1.286
Epoch: 5, Iteration:   740 loss: 1.291
Epoch: 5, Iteration:   760 loss: 1.334
Epoch: 5, Iteration:   780 loss: 1.367
Loss: 1.420
Accuracy of the network on the 10000 test images: 49 %
Accuracy of plane : 83 %
Accuracy of   car : 50 %
Accuracy of  bird : 51 %
Accuracy of   cat : 47 %
Accuracy of  deer : 32 %
Accuracy of   dog : 30 %
Accuracy of  frog : 75 %
Accuracy of horse : 45 %
Accuracy of  ship : 10 %
Accuracy of truck : 65 %
Epoch: 6, Iteration:     0 loss: 0.084
Epoch: 6, Iteration:    20 loss: 1.312
Epoch: 6, Iteration:    40 loss: 1.236
Epoch: 6, Iteration:    60 loss: 1.262
Epoch: 6, Iteration:    80 loss: 1.353
Epoch: 6, Iteration:   100 loss: 1.288
Epoch: 6, Iteration:   120 loss: 1.291
Epoch: 6, Iteration:   140 loss: 1.239
Epoch: 6, Iteration:   160 loss: 1.280
Epoch: 6, Iteration:   180 loss: 1.231
Epoch: 6, Iteration:   200 loss: 1.273
Epoch: 6, Iteration:   220 loss: 1.271
Epoch: 6, Iteration:   240 loss: 1.331
Epoch: 6, Iteration:   260 loss: 1.294
Epoch: 6, Iteration:   280 loss: 1.332
Epoch: 6, Iteration:   300 loss: 1.262
Epoch: 6, Iteration:   320 loss: 1.199
Epoch: 6, Iteration:   340 loss: 1.214
Epoch: 6, Iteration:   360 loss: 1.181
Epoch: 6, Iteration:   380 loss: 1.199
Epoch: 6, Iteration:   400 loss: 1.157
Epoch: 6, Iteration:   420 loss: 1.203
Epoch: 6, Iteration:   440 loss: 1.260
Epoch: 6, Iteration:   460 loss: 1.190
Epoch: 6, Iteration:   480 loss: 1.200
Epoch: 6, Iteration:   500 loss: 1.203
Epoch: 6, Iteration:   520 loss: 1.221
Epoch: 6, Iteration:   540 loss: 1.146
Epoch: 6, Iteration:   560 loss: 1.255
Epoch: 6, Iteration:   580 loss: 1.154
Epoch: 6, Iteration:   600 loss: 1.187
Epoch: 6, Iteration:   620 loss: 1.206
Epoch: 6, Iteration:   640 loss: 1.151
Epoch: 6, Iteration:   660 loss: 1.158
Epoch: 6, Iteration:   680 loss: 1.164
Epoch: 6, Iteration:   700 loss: 1.204
Epoch: 6, Iteration:   720 loss: 1.189
Epoch: 6, Iteration:   740 loss: 1.125
Epoch: 6, Iteration:   760 loss: 1.190
Epoch: 6, Iteration:   780 loss: 1.167
Loss: 1.278
Accuracy of the network on the 10000 test images: 54 %
Accuracy of plane : 58 %
Accuracy of   car : 40 %
Accuracy of  bird : 22 %
Accuracy of   cat : 50 %
Accuracy of  deer : 52 %
Accuracy of   dog : 49 %
Accuracy of  frog : 67 %
Accuracy of horse : 75 %
Accuracy of  ship : 48 %
Accuracy of truck : 78 %
Epoch: 7, Iteration:     0 loss: 0.056
Epoch: 7, Iteration:    20 loss: 1.086
Epoch: 7, Iteration:    40 loss: 1.112
Epoch: 7, Iteration:    60 loss: 1.173
Epoch: 7, Iteration:    80 loss: 1.213
Epoch: 7, Iteration:   100 loss: 1.174
Epoch: 7, Iteration:   120 loss: 1.110
Epoch: 7, Iteration:   140 loss: 1.076
Epoch: 7, Iteration:   160 loss: 1.087
Epoch: 7, Iteration:   180 loss: 1.209
Epoch: 7, Iteration:   200 loss: 1.219
Epoch: 7, Iteration:   220 loss: 1.184
Epoch: 7, Iteration:   240 loss: 1.111
Epoch: 7, Iteration:   260 loss: 1.097
Epoch: 7, Iteration:   280 loss: 1.141
Epoch: 7, Iteration:   300 loss: 1.057
Epoch: 7, Iteration:   320 loss: 1.133
Epoch: 7, Iteration:   340 loss: 1.107
Epoch: 7, Iteration:   360 loss: 1.069
Epoch: 7, Iteration:   380 loss: 1.112
Epoch: 7, Iteration:   400 loss: 1.014
Epoch: 7, Iteration:   420 loss: 1.037
Epoch: 7, Iteration:   440 loss: 1.049
Epoch: 7, Iteration:   460 loss: 1.054
Epoch: 7, Iteration:   480 loss: 1.031
Epoch: 7, Iteration:   500 loss: 1.137
Epoch: 7, Iteration:   520 loss: 1.052
Epoch: 7, Iteration:   540 loss: 1.059
Epoch: 7, Iteration:   560 loss: 1.087
Epoch: 7, Iteration:   580 loss: 1.047
Epoch: 7, Iteration:   600 loss: 1.073
Epoch: 7, Iteration:   620 loss: 1.032
Epoch: 7, Iteration:   640 loss: 1.065
Epoch: 7, Iteration:   660 loss: 1.095
Epoch: 7, Iteration:   680 loss: 1.050
Epoch: 7, Iteration:   700 loss: 1.100
Epoch: 7, Iteration:   720 loss: 1.146
Epoch: 7, Iteration:   740 loss: 1.075
Epoch: 7, Iteration:   760 loss: 1.074
Epoch: 7, Iteration:   780 loss: 1.006
Loss: 1.282
Accuracy of the network on the 10000 test images: 56 %
Accuracy of plane : 42 %
Accuracy of   car : 46 %
Accuracy of  bird : 55 %
Accuracy of   cat : 23 %
Accuracy of  deer : 58 %
Accuracy of   dog : 50 %
Accuracy of  frog : 64 %
Accuracy of horse : 73 %
Accuracy of  ship : 84 %
Accuracy of truck : 64 %
Epoch: 8, Iteration:     0 loss: 0.053
Epoch: 8, Iteration:    20 loss: 1.052
Epoch: 8, Iteration:    40 loss: 1.053
Epoch: 8, Iteration:    60 loss: 1.017
Epoch: 8, Iteration:    80 loss: 1.054
Epoch: 8, Iteration:   100 loss: 1.012
Epoch: 8, Iteration:   120 loss: 1.085
Epoch: 8, Iteration:   140 loss: 1.050
Epoch: 8, Iteration:   160 loss: 1.089
Epoch: 8, Iteration:   180 loss: 0.970
Epoch: 8, Iteration:   200 loss: 0.971
Epoch: 8, Iteration:   220 loss: 0.970
Epoch: 8, Iteration:   240 loss: 1.030
Epoch: 8, Iteration:   260 loss: 1.030
Epoch: 8, Iteration:   280 loss: 1.065
Epoch: 8, Iteration:   300 loss: 0.981
Epoch: 8, Iteration:   320 loss: 1.014
Epoch: 8, Iteration:   340 loss: 1.006
Epoch: 8, Iteration:   360 loss: 1.004
Epoch: 8, Iteration:   380 loss: 0.963
Epoch: 8, Iteration:   400 loss: 1.024
Epoch: 8, Iteration:   420 loss: 1.010
Epoch: 8, Iteration:   440 loss: 1.023
Epoch: 8, Iteration:   460 loss: 0.990
Epoch: 8, Iteration:   480 loss: 1.016
Epoch: 8, Iteration:   500 loss: 1.017
Epoch: 8, Iteration:   520 loss: 0.981
Epoch: 8, Iteration:   540 loss: 1.032
Epoch: 8, Iteration:   560 loss: 1.045
Epoch: 8, Iteration:   580 loss: 1.038
Epoch: 8, Iteration:   600 loss: 0.900
Epoch: 8, Iteration:   620 loss: 0.971
Epoch: 8, Iteration:   640 loss: 0.999
Epoch: 8, Iteration:   660 loss: 1.003
Epoch: 8, Iteration:   680 loss: 0.960
Epoch: 8, Iteration:   700 loss: 0.959
Epoch: 8, Iteration:   720 loss: 0.966
Epoch: 8, Iteration:   740 loss: 0.941
Epoch: 8, Iteration:   760 loss: 1.020
Epoch: 8, Iteration:   780 loss: 0.894
Loss: 1.178
Accuracy of the network on the 10000 test images: 59 %
Accuracy of plane : 64 %
Accuracy of   car : 68 %
Accuracy of  bird : 62 %
Accuracy of   cat : 60 %
Accuracy of  deer : 10 %
Accuracy of   dog : 52 %
Accuracy of  frog : 76 %
Accuracy of horse : 53 %
Accuracy of  ship : 74 %
Accuracy of truck : 65 %
Epoch: 9, Iteration:     0 loss: 0.045
Epoch: 9, Iteration:    20 loss: 0.891
Epoch: 9, Iteration:    40 loss: 0.918
Epoch: 9, Iteration:    60 loss: 0.940
Epoch: 9, Iteration:    80 loss: 0.944
Epoch: 9, Iteration:   100 loss: 0.930
Epoch: 9, Iteration:   120 loss: 0.849
Epoch: 9, Iteration:   140 loss: 0.879
Epoch: 9, Iteration:   160 loss: 0.856
Epoch: 9, Iteration:   180 loss: 0.879
Epoch: 9, Iteration:   200 loss: 0.961
Epoch: 9, Iteration:   220 loss: 0.852
Epoch: 9, Iteration:   240 loss: 0.819
