Files already downloaded and verified
Files already downloaded and verified
Epoch: 4, Iteration:    60 loss: 1.451
Epoch: 4, Iteration:    80 loss: 1.427
Epoch: 4, Iteration:   100 loss: 1.417
Epoch: 4, Iteration:   120 loss: 1.487
Epoch: 4, Iteration:   140 loss: 1.539
Epoch: 4, Iteration:   160 loss: 1.535
Epoch: 4, Iteration:   180 loss: 1.451
Epoch: 4, Iteration:   200 loss: 1.387
Epoch: 4, Iteration:   220 loss: 1.503
Epoch: 4, Iteration:   240 loss: 1.449
Epoch: 4, Iteration:   260 loss: 1.429
Epoch: 4, Iteration:   280 loss: 1.446
Epoch: 4, Iteration:   300 loss: 1.409
Epoch: 4, Iteration:   320 loss: 1.362
Epoch: 4, Iteration:   340 loss: 1.435
Epoch: 4, Iteration:   360 loss: 1.388
Epoch: 4, Iteration:   380 loss: 1.430
Epoch: 4, Iteration:   400 loss: 1.441
Epoch: 4, Iteration:   420 loss: 1.398
Epoch: 4, Iteration:   440 loss: 1.358
Epoch: 4, Iteration:   460 loss: 1.316
Epoch: 4, Iteration:   480 loss: 1.384
Epoch: 4, Iteration:   500 loss: 1.381
Epoch: 4, Iteration:   520 loss: 1.469
Epoch: 4, Iteration:   540 loss: 1.420
Epoch: 4, Iteration:   560 loss: 1.465
Epoch: 4, Iteration:   580 loss: 1.417
Epoch: 4, Iteration:   600 loss: 1.362
Epoch: 4, Iteration:   620 loss: 1.446
Epoch: 4, Iteration:   640 loss: 1.436
Epoch: 4, Iteration:   660 loss: 1.351
Epoch: 4, Iteration:   680 loss: 1.275
Epoch: 4, Iteration:   700 loss: 1.394
Epoch: 4, Iteration:   720 loss: 1.361
Epoch: 4, Iteration:   740 loss: 1.361
Epoch: 4, Iteration:   760 loss: 1.385
Epoch: 4, Iteration:   780 loss: 1.355
Loss: 1.280
Accuracy of the network on the 10000 test images: 57 %
Accuracy of plane : 67 %
Accuracy of   car : 72 %
Accuracy of  bird : 45 %
Accuracy of   cat : 43 %
Accuracy of  deer : 23 %
Accuracy of   dog : 40 %
Accuracy of  frog : 78 %
Accuracy of horse : 65 %
Accuracy of  ship : 68 %
Accuracy of truck : 67 %
Epoch: 5, Iteration:     0 loss: 0.057
Epoch: 5, Iteration:    20 loss: 1.336
Epoch: 5, Iteration:    40 loss: 1.338
Epoch: 5, Iteration:    60 loss: 1.369
Epoch: 5, Iteration:    80 loss: 1.334
Epoch: 5, Iteration:   100 loss: 1.407
Epoch: 5, Iteration:   120 loss: 1.410
Epoch: 5, Iteration:   140 loss: 1.305
Epoch: 5, Iteration:   160 loss: 1.365
Epoch: 5, Iteration:   180 loss: 1.435
Epoch: 5, Iteration:   200 loss: 1.422
Epoch: 5, Iteration:   220 loss: 1.375
Epoch: 5, Iteration:   240 loss: 1.332
