Files already downloaded and verified
Files already downloaded and verified
Epoch: 4, Iteration:   280 loss: 1.449
Epoch: 4, Iteration:   300 loss: 1.420
Epoch: 4, Iteration:   320 loss: 1.410
Epoch: 4, Iteration:   340 loss: 1.403
Epoch: 4, Iteration:   360 loss: 1.427
Epoch: 4, Iteration:   380 loss: 1.448
Epoch: 4, Iteration:   400 loss: 1.437
Epoch: 4, Iteration:   420 loss: 1.403
Epoch: 4, Iteration:   440 loss: 1.403
Epoch: 4, Iteration:   460 loss: 1.364
Epoch: 4, Iteration:   480 loss: 1.357
Epoch: 4, Iteration:   500 loss: 1.399
Epoch: 4, Iteration:   520 loss: 1.460
Epoch: 4, Iteration:   540 loss: 1.385
Epoch: 4, Iteration:   560 loss: 1.384
Epoch: 4, Iteration:   580 loss: 1.358
Epoch: 4, Iteration:   600 loss: 1.477
Epoch: 4, Iteration:   620 loss: 1.477
Epoch: 4, Iteration:   640 loss: 1.447
Epoch: 4, Iteration:   660 loss: 1.343
Epoch: 4, Iteration:   680 loss: 1.318
Epoch: 4, Iteration:   700 loss: 1.351
Epoch: 4, Iteration:   720 loss: 1.392
Epoch: 4, Iteration:   740 loss: 1.380
Epoch: 4, Iteration:   760 loss: 1.366
Epoch: 4, Iteration:   780 loss: 1.317
Loss: 1.293
Accuracy of the network on the 10000 test images: 53 %
Accuracy of plane : 53 %
Accuracy of   car : 68 %
Accuracy of  bird : 41 %
Accuracy of   cat : 43 %
Accuracy of  deer : 25 %
Accuracy of   dog : 35 %
Accuracy of  frog : 80 %
Accuracy of horse : 59 %
Accuracy of  ship : 68 %
Accuracy of truck : 66 %
Epoch: 5, Iteration:     0 loss: 0.067
Epoch: 5, Iteration:    20 loss: 1.354
Epoch: 5, Iteration:    40 loss: 1.315
Epoch: 5, Iteration:    60 loss: 1.290
Epoch: 5, Iteration:    80 loss: 1.347
Epoch: 5, Iteration:   100 loss: 1.354
Epoch: 5, Iteration:   120 loss: 1.428
Epoch: 5, Iteration:   140 loss: 1.356
Epoch: 5, Iteration:   160 loss: 1.363
Epoch: 5, Iteration:   180 loss: 1.389
Epoch: 5, Iteration:   200 loss: 1.408
Epoch: 5, Iteration:   220 loss: 1.365
Epoch: 5, Iteration:   240 loss: 1.329
Epoch: 5, Iteration:   260 loss: 1.309
Epoch: 5, Iteration:   280 loss: 1.393
Epoch: 5, Iteration:   300 loss: 1.313
Epoch: 5, Iteration:   320 loss: 1.298
Epoch: 5, Iteration:   340 loss: 1.395
Epoch: 5, Iteration:   360 loss: 1.329
Epoch: 5, Iteration:   380 loss: 1.240
Epoch: 5, Iteration:   400 loss: 1.295
Epoch: 5, Iteration:   420 loss: 1.237
Epoch: 5, Iteration:   440 loss: 1.267
Epoch: 5, Iteration:   460 loss: 1.318
Epoch: 5, Iteration:   480 loss: 1.175
Epoch: 5, Iteration:   500 loss: 1.256
Epoch: 5, Iteration:   520 loss: 1.243
Epoch: 5, Iteration:   540 loss: 1.319
Epoch: 5, Iteration:   560 loss: 1.240
Epoch: 5, Iteration:   580 loss: 1.259
Epoch: 5, Iteration:   600 loss: 1.267
Epoch: 5, Iteration:   620 loss: 1.321
Epoch: 5, Iteration:   640 loss: 1.351
Epoch: 5, Iteration:   660 loss: 1.307
Epoch: 5, Iteration:   680 loss: 1.290
Epoch: 5, Iteration:   700 loss: 1.241
Epoch: 5, Iteration:   720 loss: 1.270
Epoch: 5, Iteration:   740 loss: 1.241
Epoch: 5, Iteration:   760 loss: 1.276
Epoch: 5, Iteration:   780 loss: 1.239
Loss: 1.539
Accuracy of the network on the 10000 test images: 45 %
Accuracy of plane : 51 %
Accuracy of   car :  8 %
Accuracy of  bird : 45 %
Accuracy of   cat :  6 %
Accuracy of  deer : 32 %
Accuracy of   dog : 66 %
Accuracy of  frog : 16 %
Accuracy of horse : 71 %
Accuracy of  ship : 82 %
Accuracy of truck : 65 %
Epoch: 6, Iteration:     0 loss: 0.077
Epoch: 6, Iteration:    20 loss: 1.317
Epoch: 6, Iteration:    40 loss: 1.283
Epoch: 6, Iteration:    60 loss: 1.202
Epoch: 6, Iteration:    80 loss: 1.204
Epoch: 6, Iteration:   100 loss: 1.209
Epoch: 6, Iteration:   120 loss: 1.199
Epoch: 6, Iteration:   140 loss: 1.304
Epoch: 6, Iteration:   160 loss: 1.231
Epoch: 6, Iteration:   180 loss: 1.139
Epoch: 6, Iteration:   200 loss: 1.185
Epoch: 6, Iteration:   220 loss: 1.230
Epoch: 6, Iteration:   240 loss: 1.217
Epoch: 6, Iteration:   260 loss: 1.163
Epoch: 6, Iteration:   280 loss: 1.159
Epoch: 6, Iteration:   300 loss: 1.159
Epoch: 6, Iteration:   320 loss: 1.156
Epoch: 6, Iteration:   340 loss: 1.247
Epoch: 6, Iteration:   360 loss: 1.252
Epoch: 6, Iteration:   380 loss: 1.182
Epoch: 6, Iteration:   400 loss: 1.182
Epoch: 6, Iteration:   420 loss: 1.146
Epoch: 6, Iteration:   440 loss: 1.188
Epoch: 6, Iteration:   460 loss: 1.223
Epoch: 6, Iteration:   480 loss: 1.165
Epoch: 6, Iteration:   500 loss: 1.206
Epoch: 6, Iteration:   520 loss: 1.163
Epoch: 6, Iteration:   540 loss: 1.116
Epoch: 6, Iteration:   560 loss: 1.162
Epoch: 6, Iteration:   580 loss: 1.183
Epoch: 6, Iteration:   600 loss: 1.170
Epoch: 6, Iteration:   620 loss: 1.189
Epoch: 6, Iteration:   640 loss: 1.188
Epoch: 6, Iteration:   660 loss: 1.143
Epoch: 6, Iteration:   680 loss: 1.124
Epoch: 6, Iteration:   700 loss: 1.079
Epoch: 6, Iteration:   720 loss: 1.169
Epoch: 6, Iteration:   740 loss: 1.164
Epoch: 6, Iteration:   760 loss: 1.083
Epoch: 6, Iteration:   780 loss: 1.124
Loss: 1.336
Accuracy of the network on the 10000 test images: 51 %
Accuracy of plane : 85 %
Accuracy of   car : 74 %
Accuracy of  bird : 31 %
Accuracy of   cat : 42 %
Accuracy of  deer : 16 %
Accuracy of   dog : 52 %
Accuracy of  frog : 39 %
Accuracy of horse : 81 %
Accuracy of  ship : 37 %
Accuracy of truck : 62 %
Epoch     6: reducing learning rate of group 0 to 1.0000e-02.
Epoch: 7, Iteration:     0 loss: 0.060
Epoch: 7, Iteration:    20 loss: 1.291
Epoch: 7, Iteration:    40 loss: 1.127
Epoch: 7, Iteration:    60 loss: 0.935
Epoch: 7, Iteration:    80 loss: 0.923
Epoch: 7, Iteration:   100 loss: 0.917
Epoch: 7, Iteration:   120 loss: 0.916
Epoch: 7, Iteration:   140 loss: 0.835
Epoch: 7, Iteration:   160 loss: 0.850
Epoch: 7, Iteration:   180 loss: 0.871
Epoch: 7, Iteration:   200 loss: 0.861
Epoch: 7, Iteration:   220 loss: 0.843
Epoch: 7, Iteration:   240 loss: 0.877
Epoch: 7, Iteration:   260 loss: 0.817
Epoch: 7, Iteration:   280 loss: 0.832
Epoch: 7, Iteration:   300 loss: 0.775
Epoch: 7, Iteration:   320 loss: 0.830
Epoch: 7, Iteration:   340 loss: 0.795
Epoch: 7, Iteration:   360 loss: 0.794
Epoch: 7, Iteration:   380 loss: 0.789
Epoch: 7, Iteration:   400 loss: 0.860
Epoch: 7, Iteration:   420 loss: 0.790
Epoch: 7, Iteration:   440 loss: 0.781
Epoch: 7, Iteration:   460 loss: 0.812
Epoch: 7, Iteration:   480 loss: 0.759
Epoch: 7, Iteration:   500 loss: 0.742
Epoch: 7, Iteration:   520 loss: 0.832
Epoch: 7, Iteration:   540 loss: 0.815
Epoch: 7, Iteration:   560 loss: 0.809
Epoch: 7, Iteration:   580 loss: 0.747
Epoch: 7, Iteration:   600 loss: 0.819
Epoch: 7, Iteration:   620 loss: 0.794
Epoch: 7, Iteration:   640 loss: 0.800
Epoch: 7, Iteration:   660 loss: 0.793
Epoch: 7, Iteration:   680 loss: 0.732
Epoch: 7, Iteration:   700 loss: 0.779
Epoch: 7, Iteration:   720 loss: 0.771
Epoch: 7, Iteration:   740 loss: 0.736
Epoch: 7, Iteration:   760 loss: 0.801
Epoch: 7, Iteration:   780 loss: 0.774
Loss: 1.079
Accuracy of the network on the 10000 test images: 61 %
Accuracy of plane : 73 %
Accuracy of   car : 74 %
Accuracy of  bird : 55 %
Accuracy of   cat : 49 %
Accuracy of  deer : 41 %
Accuracy of   dog : 49 %
Accuracy of  frog : 75 %
Accuracy of horse : 62 %
Accuracy of  ship : 72 %
Accuracy of truck : 69 %
Epoch: 8, Iteration:     0 loss: 0.044
Epoch: 8, Iteration:    20 loss: 0.751
Epoch: 8, Iteration:    40 loss: 0.745
Epoch: 8, Iteration:    60 loss: 0.745
Epoch: 8, Iteration:    80 loss: 0.722
Epoch: 8, Iteration:   100 loss: 0.756
Epoch: 8, Iteration:   120 loss: 0.757
Epoch: 8, Iteration:   140 loss: 0.721
Epoch: 8, Iteration:   160 loss: 0.725
Epoch: 8, Iteration:   180 loss: 0.721
Epoch: 8, Iteration:   200 loss: 0.747
Epoch: 8, Iteration:   220 loss: 0.699
Epoch: 8, Iteration:   240 loss: 0.684
Epoch: 8, Iteration:   260 loss: 0.665
Epoch: 8, Iteration:   280 loss: 0.731
Epoch: 8, Iteration:   300 loss: 0.703
Epoch: 8, Iteration:   320 loss: 0.717
Epoch: 8, Iteration:   340 loss: 0.727
Epoch: 8, Iteration:   360 loss: 0.743
Epoch: 8, Iteration:   380 loss: 0.775
Epoch: 8, Iteration:   400 loss: 0.648
Epoch: 8, Iteration:   420 loss: 0.720
Epoch: 8, Iteration:   440 loss: 0.750
Epoch: 8, Iteration:   460 loss: 0.739
Epoch: 8, Iteration:   480 loss: 0.716
Epoch: 8, Iteration:   500 loss: 0.643
Epoch: 8, Iteration:   520 loss: 0.721
Epoch: 8, Iteration:   540 loss: 0.663
Epoch: 8, Iteration:   560 loss: 0.756
Epoch: 8, Iteration:   580 loss: 0.748
Epoch: 8, Iteration:   600 loss: 0.704
Epoch: 8, Iteration:   620 loss: 0.687
Epoch: 8, Iteration:   640 loss: 0.666
Epoch: 8, Iteration:   660 loss: 0.666
Epoch: 8, Iteration:   680 loss: 0.701
Epoch: 8, Iteration:   700 loss: 0.717
Epoch: 8, Iteration:   720 loss: 0.741
Epoch: 8, Iteration:   740 loss: 0.727
Epoch: 8, Iteration:   760 loss: 0.694
Epoch: 8, Iteration:   780 loss: 0.720
Loss: 1.085
Accuracy of the network on the 10000 test images: 64 %
Accuracy of plane : 75 %
Accuracy of   car : 78 %
Accuracy of  bird : 60 %
Accuracy of   cat : 45 %
Accuracy of  deer : 49 %
Accuracy of   dog : 55 %
Accuracy of  frog : 76 %
Accuracy of horse : 62 %
Accuracy of  ship : 79 %
Accuracy of truck : 65 %
Epoch: 9, Iteration:     0 loss: 0.040
Epoch: 9, Iteration:    20 loss: 0.636
